gene,species,species_code,transcript_id,sequence_id,window_index,start,end,center,absolute_start,absolute_end,absolute_center,window_size,step_size,entropy_method,k,invalid_symbol_count,invalid_symbols,entropy,status,word_length,used_length
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,1,0,1000,500.0,0,1000,500.0,1000,100,jin,3,0,,0.9628050886772311,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,2,100,1100,600.0,100,1100,600.0,1000,100,jin,3,0,,0.9540876736702959,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,3,200,1200,700.0,200,1200,700.0,1000,100,jin,3,0,,0.9590072600081396,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,4,300,1300,800.0,300,1300,800.0,1000,100,jin,3,0,,0.968266864138545,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,5,400,1400,900.0,400,1400,900.0,1000,100,jin,3,0,,0.9657222147155936,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,6,500,1500,1000.0,500,1500,1000.0,1000,100,jin,3,0,,0.9611467133414822,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,7,600,1600,1100.0,600,1600,1100.0,1000,100,jin,3,0,,0.9550103436181866,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,8,700,1700,1200.0,700,1700,1200.0,1000,100,jin,3,0,,0.9437512704868886,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,9,800,1800,1300.0,800,1800,1300.0,1000,100,jin,3,0,,0.944244500957922,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,10,900,1900,1400.0,900,1900,1400.0,1000,100,jin,3,0,,0.9611467133414822,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,11,1000,2000,1500.0,1000,2000,1500.0,1000,100,jin,3,0,,0.9576824410106748,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,12,1100,2100,1600.0,1100,2100,1600.0,1000,100,jin,3,0,,0.9412967778081134,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,13,1200,2200,1700.0,1200,2200,1700.0,1000,100,jin,3,0,,0.9402691922150188,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,14,1300,2300,1800.0,1300,2300,1800.0,1000,100,jin,3,0,,0.9540876736702959,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,15,1400,2400,1900.0,1400,2400,1900.0,1000,100,jin,3,0,,0.9610699452649184,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,16,1500,2500,2000.0,1500,2500,2000.0,1000,100,jin,3,0,,0.9551270410871558,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,17,1600,2600,2100.0,1600,2600,2100.0,1000,100,jin,3,0,,0.9585835573353695,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,18,1700,2700,2200.0,1700,2700,2200.0,1000,100,jin,3,0,,0.9675221974458973,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,19,1800,2800,2300.0,1800,2800,2300.0,1000,100,jin,3,0,,0.9624499896094815,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,20,1900,2900,2400.0,1900,2900,2400.0,1000,100,jin,3,0,,0.9566828519308935,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,21,2000,3000,2500.0,2000,3000,2500.0,1000,100,jin,3,0,,0.952693730283472,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,22,2100,3100,2600.0,2100,3100,2600.0,1000,100,jin,3,0,,0.9521526813689573,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,23,2200,3200,2700.0,2200,3200,2700.0,1000,100,jin,3,0,,0.9594000519576128,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,24,2300,3300,2800.0,2300,3300,2800.0,1000,100,jin,3,0,,0.9641513152545361,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,25,2400,3400,2900.0,2400,3400,2900.0,1000,100,jin,3,0,,0.965390787895955,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,26,2500,3500,3000.0,2500,3500,3000.0,1000,100,jin,3,0,,0.9640195197463776,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,27,2600,3600,3100.0,2600,3600,3100.0,1000,100,jin,3,0,,0.9588937111357542,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,28,2700,3700,3200.0,2700,3700,3200.0,1000,100,jin,3,0,,0.9575235970116281,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,29,2800,3800,3300.0,2800,3800,3300.0,1000,100,jin,3,0,,0.9435159970226743,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,30,2900,3900,3400.0,2900,3900,3400.0,1000,100,jin,3,0,,0.9483602573945125,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,31,3000,4000,3500.0,3000,4000,3500.0,1000,100,jin,3,0,,0.9461085974064755,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,32,3100,4100,3600.0,3100,4100,3600.0,1000,100,jin,3,0,,0.9466544530606722,ok,4,259
BRCA1,Homo sapiens,hs,NM_007294.3,Homo_sapiens_BRCA1_locus,33,3200,4200,3700.0,3200,4200,3700.0,1000,100,jin,3,0,,0.9417921482255425,ok,4,259
