gene,species,species_code,transcript_id,protein_id,region_type,number,genomic_order,between_exons,start,end,absolute_start,absolute_end,strand,length,entropy_method,invalid_symbol_count,invalid_symbols,Htop,status,n,original_length,used_length,p_w_n,usable_for_analysis
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,1,1,,0,213,0,213,1,213,koslicki,0,,0.8809003698103748,ok,3,213,66,39,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,2,2,,1368,1467,1368,1467,1,99,koslicki,0,,0.8869880158145604,ok,3,99,66,40,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,3,3,,9704,9758,9704,9758,1,54,koslicki,0,,0.8648579046593244,ok,2,54,17,11,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,4,4,,18950,19028,18950,19028,1,78,koslicki,0,,0.8987195704631268,ok,3,78,66,42,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,5,5,,20527,20616,20527,20616,1,89,koslicki,0,,0.8682422276048251,ok,3,89,66,37,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,6,6,,21222,21362,21222,21362,1,140,koslicki,0,,0.8548805028241611,ok,3,140,66,35,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,7,7,,25603,25709,25603,25709,1,106,koslicki,0,,0.8407323532264089,ok,3,106,66,33,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,8,8,,28194,28240,28194,28240,1,46,koslicki,0,,0.701838730514401,ok,2,46,17,7,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,9,9,,29561,29638,29561,29638,1,77,koslicki,0,,0.8548805028241611,ok,3,77,66,35,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,10,10,,30623,34049,30623,34049,1,3426,koslicki,0,,0.9071462362556625,ok,5,3426,1028,538,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,11,11,,34451,34540,34451,34540,1,89,koslicki,0,,0.8682422276048251,ok,3,89,66,37,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,12,12,,42908,43080,42908,43080,1,172,koslicki,0,,0.8682422276048251,ok,3,172,66,37,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,13,13,,48869,48996,48869,48996,1,127,koslicki,0,,0.8869880158145604,ok,3,127,66,40,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,14,14,,50962,51153,50962,51153,1,191,koslicki,0,,0.9099052697728829,ok,3,191,66,44,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,15,15,,54245,54556,54245,54556,1,311,koslicki,0,,0.8764034069279067,ok,4,311,259,129,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,16,16,,57788,57876,57788,57876,1,88,koslicki,0,,0.892925334103014,ok,3,88,66,41,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,17,17,,61532,61610,61532,61610,1,78,koslicki,0,,0.861654166907052,ok,3,78,66,36,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,18,18,,62110,62151,62110,62151,1,41,koslicki,0,,0.925109929535273,ok,2,41,17,13,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,19,19,,68348,68432,68348,68432,1,84,koslicki,0,,0.8407323532264089,ok,3,84,66,33,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,20,20,,74366,74421,74366,74421,1,55,koslicki,0,,0.8304820237218407,ok,2,55,17,10,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,21,21,,76289,76363,76289,76363,1,74,koslicki,0,,0.8548805028241611,ok,3,74,66,35,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,22,22,,77780,77841,77780,77841,1,61,koslicki,0,,0.8304820237218407,ok,2,61,17,10,False
